AnimalID,SireID,DamID,SexID,Year,Breed,FamilyID
MRYGY25G090A539,m52_2,MRYGY24G080C629,male,2025,unknown,MRYGY25G0900521
MRYGY25G090A540,m23_1,MRYGY24G080E364,male,2025,unknown,MRYGY25G0900232
MRYGY25G090A541,m38_1,MRYGY24G080D516,male,2025,unknown,MRYGY25G0900381
MRYGY25G090A542,m55_2,MRYGY24G080D601,male,2025,unknown,MRYGY25G0900552
MRYGY25G090A543,m18_2,MRYGY24G080F380,male,2025,unknown,MRYGY25G0900182
MRYGY25G090A544,m10_1,MRYGY24G080E598,male,2025,unknown,MRYGY25G0900102
MRYGY25G090A545,m43_2,MRYGY24G080E447,male,2025,unknown,MRYGY25G0900433
MRYGY25G090A546,m48_1,MRYGY24G080C142,male,2025,unknown,MRYGY25G0900482
MRYGY25G090A547,m37_1,MRYGY24G080C620,male,2025,unknown,MRYGY25G0900372
MRYGY25G090A548,m24_1,MRYGY24G080C336,male,2025,unknown,MRYGY25G0900242
MRYGY25G090A549,m17_2,MRYGY24G080F398,male,2025,unknown,MRYGY25G0900174
MRYGY25G090A550,m5_1,MRYGY24G080F780,male,2025,unknown,MRYGY25G0900053
MRYGY25G090A551,m44_2,MRYGY24G080D631,male,2025,unknown,MRYGY25G0900441
MRYGY25G090A552,m38_1,MRYGY24G080D340,male,2025,unknown,MRYGY25G0900384
MRYGY25G090A553,m3_2,MRYGY24G080E285,male,2025,unknown,MRYGY25G0900033
MRYGY25G090A554,m32_1,MRYGY24G080C800,male,2025,unknown,MRYGY25G0900321
MRYGY25G090A555,m7_1,MRYGY24G080D155,male,2025,unknown,MRYGY25G0900072
MRYGY25G090A556,m21_2,MRYGY24G080F681,male,2025,unknown,MRYGY25G0900211
MRYGY25G090A557,m57_1,MRYGY24G080E465,male,2025,unknown,MRYGY25G0900572
MRYGY25G090A558,m22_2,MRYGY24G080E401,male,2025,unknown,MRYGY25G0900223
MRYGY25G090A559,m66_2,MRYGY24G080E117,male,2025,unknown,MRYGY25G0900663
MRYGY25G090A560,m70_1,MRYGY24G080F528,male,2025,unknown,MRYGY25G0900701
MRYGY25G090A561,m10_1,MRYGY24G080E598,male,2025,unknown,MRYGY25G0900102
MRYGY25G090A562,m2_2,MRYGY24G080C574,male,2025,unknown,MRYGY25G0900021
MRYGY25G090A563,m31_1,MRYGY24G080C867,male,2025,unknown,MRYGY25G0900311
MRYGY25G090A564,m41_1,MRYGY24G080C737,male,2025,unknown,MRYGY25G0900412
MRYGY25G090A565,m100_1,MRYGY24G080D586,male,2025,unknown,MRYGY25G0901002
MRYGY25G090A566,m94_1,MRYGY24G080F481,male,2025,unknown,MRYGY25G0900941
MRYGY25G090A567,m97_2,MRYGY24G080D507,male,2025,unknown,MRYGY25G0900973
MRYGY25G090A568,m70_1,MRYGY24G080F528,male,2025,unknown,MRYGY25G0900701
MRYGY25G090A569,m44_2,MRYGY24G080D631,male,2025,unknown,MRYGY25G0900441
MRYGY25G090A570,m77_2,MRYGY24G080C126,male,2025,unknown,MRYGY25G0900771
MRYGY25G090A571,m4_1,MRYGY24G080C777,male,2025,unknown,MRYGY25G0900042
MRYGY25G090A572,m27_2,MRYGY24G080D558,male,2025,unknown,MRYGY25G0900272
MRYGY25G090A573,m73_2,MRYGY24G080C191,male,2025,unknown,MRYGY25G0900731
MRYGY25G090A574,m78_2,MRYGY24G080C637,male,2025,unknown,MRYGY25G0900781
MRYGY25G090A575,m3_2,MRYGY24G080E285,male,2025,unknown,MRYGY25G0900033
MRYGY25G090A576,m7_1,MRYGY24G080E645,male,2025,unknown,MRYGY25G0900071
MRYGY25G090A577,m86_1,MRYGY24G080C361,male,2025,unknown,MRYGY25G0900861
MRYGY25G090A578,m80_1,MRYGY24G080D158,male,2025,unknown,MRYGY25G0900801
MRYGY25G090A579,m55_2,MRYGY24G080C832,male,2025,unknown,MRYGY25G0900551
MRYGY25G090A580,m16_2,MRYGY24G080C277,male,2025,unknown,MRYGY25G0900162
MRYGY25G090A581,m33_2,MRYGY24G080C520,male,2025,unknown,MRYGY25G0900331
MRYGY25G090A582,m14_1,MRYGY24G080E679,male,2025,unknown,MRYGY25G0900141
MRYGY25G090A583,m32_1,MRYGY24G080C800,male,2025,unknown,MRYGY25G0900321
MRYGY25G090A584,m43_2,MRYGY24G080E447,male,2025,unknown,MRYGY25G0900433
MRYGY25G090A585,m38_1,MRYGY24G080D340,male,2025,unknown,MRYGY25G0900384
MRYGY25G090A586,m76_2,MRYGY24G080E628,male,2025,unknown,MRYGY25G0900761
MRYGY25G090A587,m29_1,MRYGY24G080E116,male,2025,unknown,MRYGY25G0900293
MRYGY25G090A588,m69_1,MRYGY24G080C576,male,2025,unknown,MRYGY25G0900691
MRYGY25G090A589,m29_1,MRYGY24G080D080,male,2025,unknown,MRYGY25G0900291
MRYGY25G090A590,m61_1,MRYGY24G080D126,male,2025,unknown,MRYGY25G0900611
MRYGY25G090A591,m64_2,MRYGY24G080D595,male,2025,unknown,MRYGY25G0900641
MRYGY25G090A592,m60_2,MRYGY24G080D423,male,2025,unknown,MRYGY25G0900603
MRYGY25G090A593,m53_2,MRYGY24G080C775,male,2025,unknown,MRYGY25G0900532
MRYGY25G090A594,m83_1,MRYGY24G080C836,male,2025,unknown,MRYGY25G0900831
MRYGY25G090A595,m3_2,MRYGY24G080E067,male,2025,unknown,MRYGY25G0900032
MRYGY25G090A596,m55_2,MRYGY24G080D601,male,2025,unknown,MRYGY25G0900552
MRYGY25G090A597,m50_2,MRYGY24G080F753,male,2025,unknown,MRYGY25G0900501
MRYGY25G090A598,m68_3,MRYGY24G080E240,male,2025,unknown,MRYGY25G0900673
MRYGY25G090A599,m68_3,MRYGY24G080E240,male,2025,unknown,MRYGY25G0900673
MRYGY25G090A600,m43_2,MRYGY24G080E447,male,2025,unknown,MRYGY25G0900433
